symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
601901.SS,"Founder Securities Co., Ltd.",EQUITY,CNY,china,"{'raw': 58365587456, 'fmt': '58.366B', 'longFmt': '58,365,587,456'}",8518782777,"founder,securities"
002756.SZ,"Yongxing Special Materials Technology Co.,Ltd",EQUITY,CNY,china,"{'raw': 58202308608, 'fmt': '58.202B', 'longFmt': '58,202,308,608'}",8494951319,yongxing
688036.SS,"Shenzhen Transsion Holdings Co., Ltd.",EQUITY,CNY,china,"{'raw': 58045190144, 'fmt': '58.045B', 'longFmt': '58,045,190,144'}",8472019003,transsion
300433.SZ,"Lens Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 57742098432, 'fmt': '57.742B', 'longFmt': '57,742,098,432'}",8427781079,"lens,technology"
002648.SZ,"Satellite Chemical Co.,Ltd.",EQUITY,CNY,china,"{'raw': 57785585664, 'fmt': '57.786B', 'longFmt': '57,785,585,664'}",8434128283,"satellite,chemical"
601808.SS,China Oilfield Services Limited,EQUITY,CNY,china,"{'raw': 56839327744, 'fmt': '56.839B', 'longFmt': '56,839,327,744'}",8296016666,"china,oilfield"
600460.SS,"Hangzhou Silan Microelectronics Co., Ltd",EQUITY,CNY,china,"{'raw': 56883531776, 'fmt': '56.884B', 'longFmt': '56,883,531,776'}",8302468490,silan
603369.SS,"Jiangsu King's Luck Brewery Joint-Stock Co., Ltd.",EQUITY,CNY,china,"{'raw': 55712342016, 'fmt': '55.712B', 'longFmt': '55,712,342,016'}",8131526818,king's
600754.SS,"Shanghai Jin Jiang International Hotels Co., Ltd.",EQUITY,CNY,china,"{'raw': 55271137280, 'fmt': '55.271B', 'longFmt': '55,271,137,280'}",8067130527,jiang
600875.SS,Dongfang Electric Corporation Limited,EQUITY,CNY,china,"{'raw': 55210848256, 'fmt': '55.211B', 'longFmt': '55,210,848,256'}",8058331008,dongfang
688126.SS,"National Silicon Industry Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 54988312576, 'fmt': '54.988B', 'longFmt': '54,988,312,576'}",8025850686,"national,silicon"
601607.SS,"Shanghai Pharmaceuticals Holding Co., Ltd",EQUITY,CNY,china,"{'raw': 54662680576, 'fmt': '54.663B', 'longFmt': '54,662,680,576'}",7978322880,"shanghai,pharmaceuticals"
601825.SS,"Shanghai Rural Commercial Bank Co., Ltd.",EQUITY,CNY,china,"{'raw': 54105309184, 'fmt': '54.105B', 'longFmt': '54,105,309,184'}",7896971419,"shanghai,rural"
300408.SZ,"Chaozhou Three-Circle (Group) Co.,Ltd.",EQUITY,CNY,china,"{'raw': 53527842816, 'fmt': '53.528B', 'longFmt': '53,527,842,816'}",7812686984,"chaozhou,three-circle"
603688.SS,"Jiangsu Pacific Quartz Co., Ltd",EQUITY,CNY,china,"{'raw': 53248614400, 'fmt': '53.249B', 'longFmt': '53,248,614,400'}",7771932041,"jiangsu,pacific"
000629.SZ,"Pangang Group Vanadium & Titanium Resources Co., Ltd.",EQUITY,CNY,china,"{'raw': 53166718976, 'fmt': '53.167B', 'longFmt': '53,166,718,976'}",7759978947,pangang
